,country,lat,lon
151,Nicaragua,12.6090157,-85.2936911
152,Niger,17.7356214,9.3238432
153,Nigeria,9.6000359,7.9999721
154,Niue,-19.0536414,-169.861341
155,North Macedonia,41.6171214,21.7168387
156,Northern Mariana Islands,15.1753648,145.7379338
157,Norway,64.5731537,11.52803643954819
158,Oman,21.0000287,57.0036901
159,Pacific Islands Trust Territory,45.0015763,-1.1998453
160,Pakistan,30.3308401,71.247499
161,Palau,42.5717989,2.9600905
162,Palestine,31.7621153,-95.6307891
163,Panama,8.559559,-81.1308434
164,Papua New Guinea,-5.6816069,144.2489081
165,Paraguay,-23.3165935,-58.1693445
166,Peru,-6.8699697,-75.0458515
167,Philippines,12.7503486,122.7312101
168,Poland,52.215933,19.134422
169,Portugal,39.6621648,-8.1353519
170,Puerto Rico,18.2247706,-66.4858295
171,Qatar,25.3336984,51.2295295
172,Republic of Korea,36.638392,127.6961188
173,Republic of Moldova,47.2879608,28.5670941
174,Romania,45.9852129,24.6859225
175,Russian Federation,64.6863136,97.7453061
176,Rwanda,-1.9646631,30.0644358
177,"Saint Helena, Ascension and Tristan da Cunha",-15.9690718,-5.71295
178,Saint Kitts and Nevis,17.250512,-62.6725973
179,Saint Lucia,13.8250489,-60.975036
180,Saint Pierre and Miquelon,46.8374544,-56.2120555
181,Saint Vincent and the Grenadines,12.90447,-61.2765569
182,Samoa,-13.7693895,-172.12005
183,San Marino,43.9458623,12.458306
184,Sao Tome and Principe,0.9713095,7.02255
185,Saudi Arabia,25.6242618,42.3528328
186,Senegal,14.4750607,-14.4529612
187,Serbia,44.024322850000004,21.07657433209902
188,Serbia and Montenegro,43.5284295,19.2256624
189,Seychelles,-4.6574977,55.4540146
190,Sierra Leone,8.6400349,-11.8400269
191,Singapore,1.357107,103.8194992
192,Slovakia,48.7411522,19.4528646
193,Slovenia,46.1199444,14.8153333
194,Solomon Islands,-8.7053941,159.1070693851845
195,Somalia,8.3676771,49.083416
196,South Africa,-28.8166236,24.991639
197,South Sudan,7.8699431,29.6667897
198,Spain,39.3260685,-4.8379791
199,Sri Lanka,7.5554942,80.7137847
200,Sudan,34.0678644,-102.524362
201,Sudan (former),10.850217950000001,34.31564373973994
202,Suriname,4.1413025,-56.0771187
203,Sweden,59.6749712,14.5208584
204,Switzerland,46.7985624,8.2319736
205,Syrian Arab Republic,34.6401861,39.0494106
206,Tajikistan,38.6281733,70.8156541
207,Thailand,14.8971921,100.83273
208,Timor-Leste,-8.7443169,126.063482
209,Togo,8.7800265,1.0199765
210,Tokelau,-9.1676396,-171.819687
211,Tonga,-19.9160819,-175.202642
212,Trinidad and Tobago,10.7466905,-61.0840075
213,Tunisia,36.8002068,10.1857757
214,Turkmenistan,39.3763807,59.3924609
215,Turks and Caicos Islands,21.721746,-71.5527809
216,Tuvalu,-8.6405212,179.1582918181797
217,Uganda,1.5333554,32.2166578
218,Ukraine,49.4871968,31.2718321
219,United Arab Emirates,24.0002488,53.9994829
220,United Kingdom of Great Britain and Northern Ireland,54.7023545,-3.2765753
221,United Republic of Tanzania,-6.5247123,35.7878438
222,United States of America,39.7837304,-100.445882
223,United States Virgin Islands,17.789187,-64.7080574
224,Uruguay,-32.8755548,-56.0201525
225,USSR,46.3421653,48.0254474
226,Uzbekistan,41.32373,63.9528098
227,Vanuatu,-16.5255069,168.1069154
228,Venezuela (Bolivarian Republic of),8.0018709,-66.1109318
229,Viet Nam,15.9266657,107.9650855
230,Wallis and Futuna Islands,-13.289402,-176.204224
231,Western Sahara,24.1797324,-13.7667848
232,Yemen,16.3471243,47.8915271
233,Yugoslav SFR,44.805758049999994,20.46138702369828
234,Zambia,-14.5189121,27.5589884
235,Zimbabwe,-18.4554963,29.7468414
